Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel
7/10/2021;VENOM: CARNAGE LIBERADO;641247;2;105559;274;1;3
21/10/2021;DUNA;80582;50;80234;268;2;3
14/10/2021;RON DA ERROR;46856;100;44196;272;3;2
14/10/2021;HALLOWEEN KILLS: LA NOCHE NO TERMINA;60616;150;27073;165;4;2
14/10/2021;CATO;49632;200;17966;85;5;3
7/10/2021;LOS LOCOS ADDAMS 2;110451;;11379;102;6;3
21/10/2021;CHERNOBIL: LA PELICULA;10197;;10097;59;7;2
30/9/2021;SIN TIEMPO PARA MORIR;159176;;9472;38;8;5
21/10/2021;Z;4260;;4260;37;9;1
14/10/2021;EL ULTIMO DUELO;16706;;4229;27;10;2
21/10/2021;CODA;3132;;3132;66;11;1
30/9/2021;EL PROFUGO;18596;;2513;7;12;5
21/10/2021;RETRATO DE UNA MUJER EN LLAMAS;1988;;1988;12;13;1
20/12/2018;LA CASA DE LOS CONEJOS;1996;;1918;11;14;2
6/5/2021;ERRANTE CORAZON;1828;;790;1;15;3
26/8/2021;PAW PATROL LA PELÍCULA;207967;;647;8;16;9
14/1/2021;¡SCOOBY!;27380;;540;9;17;36
14/10/2021;VIVIR SU VIDA;1609;;529;5;18;2
21/10/2021;YOUR EYES TELL;479;;479;18;19;1
2/9/2021;SHANG-CHI, Y LA LEYENDA DE LOS DIEZ ANILLOS;383014;;293;3;20;9
21/10/2021;"EXHIBICION ""POR EL DINERO""";293;;293;2;21;1
12/8/2021;NO RESPIRES 2;292703;;280;2;22;12
23/9/2021;LA CASA OSCURA;46952;;221;5;23;5
30/9/2021;NOCTURNA;1629;;201;5;24;4
28/10/2021;LO INEVITABLE;200;;200;1;25;1
2/9/2021;A PUERTAS CERRADAS;2224;;180;2;26;5
2/10/2021;"CICLO ""KUROSAWA, LADO B""";1930;;172;1;27;4
7/10/2021;AMOR BANDIDO;1148;;156;7;28;3
21/10/2021;TARARA;152;;152;1;29;1
23/9/2021;UNDINE;1576;;151;1;30;4
2/9/2021;UNA CASA SIN CORTINAS;395;;123;1;31;5
6/10/2021;MUESTRA : EL CAIRO CINE PÚBLICO 2021;171;;121;1;32;2
16/9/2021;EL IMPERIO DE LOS SENTIDOS;1160;;119;1;33;3
21/10/2021;CUENTOS DE CHACALES;116;;116;1;34;1
27/10/2021;CICLO DOC BUENOS AIRES 2021;97;;97;1;35;1
7/10/2021;FLIPPER;700;;93;3;36;3
23/9/2021;AINBO;32322;;91;2;37;6
